Common name;Species for tree;Groupe/clade;Ordre;Family;Achat - obtention des graines;Reference;Génotype/ Lot;Poids;nombre de graines;PMG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
Balsamine de Balfour;Impatiens balfourii;Asterids;Ericales;Balsaminaceae;Silene;;-;0.000;0.00;0.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saxifrage 2 ;Saxifraga ;Superosids;Saxifragales;Saxifragaceae;INRAe;Bruno Chauvel (Dijon)?;;0.000;0.00;0.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ceratocéphale;Ceratocephala falcata;Eudicots;Ranunculales;Ranunculaceae;INRAe;Bruno Chauvel (Dijon);21-02081;5.000;;0.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mouron rouge;Anagallis arvensis;Asterids;Ericales;Primulaceae;INRAe;Bruno Chauvel (Dijon);ANGAR_1699;5.000;;0.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raiponce cultivée;Campanula rapunculus;Campanulids;Asterales;Campanulaceae;Graines Baumaux;7320;;5.000;;0.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renouée;Fallopia convolvulus;Superasterids (archaiques);Caryophyllales;Polygonaceae;INRAe;Bruno Chauvel (Dijon);POLCO_1264;5.000;;0.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tobacco;Nicotiana benthamiana;Lamids;Solanales;Solanaceae;INRAe;Laurent Ogé;S0_23_BENT_0060ND;5.000;;0.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lobelie annuelle;Lobelia erinus;Campanulids;Asterales;Campanulaceae;Graines Baumaux;2860;Crystal Palace;5.000;150000.00;0.033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armoise;Artemisia annua;Campanulids;Asterales;Asteraceae;Biau germe; FAR011;21FL1A;25.000;100000.00;0.050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saxifrage 1;Saxifraga granulata;Superosids;Saxifragales;Saxifragaceae;Semences du Puy;;109793;5.000;80000;0.062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menthe verte ;Mentha spicata;Lamids;Lamiales;Lamiaceae;La Ferme de Sainte Marthe;2070A;21-11053;5.000;60000;0.083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coquelicot;Papaver rhoeas;Eudicots;Ranunculales;Papaveraceae;INRAe;Bruno Chauvel (Dijon);PAPRH_1780;5.000;4000000.00;0.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marjolaine annuelle;Origanum majorana;Lamids;Lamiales;Lamiaceae;Graines Baumaux;9141;;5.000;41666.67;0.120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muflier;Anthirrhinum majus;Lamids;Lamiales;Boraginaceae;Graines Baumaux;2939P;Rembrandt;5.000;35000.00;0.143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oeillet;Dianthus deltoides;Superasterids (archaiques);Caryophyllales;Caryophyllaceae;Semences du Puy;;111182;5.000;26000;0.192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
